id,NAME,COM_COUNT,AVE_PRICE,TAS_SCORE,ENV_SCORE,SER_SCORE,LAT,LNG,LAT84,LNG84,ADDR,URL
1,猪乐乐,172,78,8.5,8.699999999999999,9.1,29.873635,121.55527,29.87621984632606,121.5511142653163,宁波市药行街169号亚细亚A座5楼5-4(海底捞旁),http://www.dianping.com/shop/21743467
2,外婆家(天一店),1988,55,9,9,8.9,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场),http://www.dianping.com/shop/4543104
3,水货SEAHOOD(天一店),101,99,8.199999999999999,9,8.800000000000001,29.869914,121.553191,29.87249482491867,121.5490303519646,宁波市天一广场碶闸街98-2号(避风塘),http://www.dianping.com/shop/20945623
4,金橘餐厅(东门银泰店),2679,58,8.4,8.9,8.5,29.869508,121.558024,29.87209846290793,121.5538752180504,宁波市中山东路238号银泰百货7楼,http://www.dianping.com/shop/17207537
5,曹操餐厅,339,52,8.1,9,8.800000000000001,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市江夏街23号东门银泰一楼,http://www.dianping.com/shop/18170588
6,宁海食府(孝闻街店),1113,89,9.1,8.1,8.6,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号,http://www.dianping.com/shop/541453
7,贴阁碧(南塘店),1619,63,9,9,8.800000000000001,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号,http://www.dianping.com/shop/5636789
8,绿茶餐厅,810,60,8.5,8.9,8.5,29.868534,121.55812,29.87112470412896,121.5539715205199,宁波市东渡路29号颐高世贸乐活广场(中国建设银行第一支行世贸支行),http://www.dianping.com/shop/16009170
9,贴阁碧(东渡路店),2499,75,8.800000000000001,8.300000000000001,8.199999999999999,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号,http://www.dianping.com/shop/2361985
10,贴阁碧(月湖盛园店),841,76,9.1,9.199999999999999,9,29.863517,121.546877,29.86608441271074,121.5427000023655,宁波市带河巷40号月湖·盛园商业街,http://www.dianping.com/shop/16814693
11,汉唐餐厅(天一广场店),675,61,8.9,9,8.800000000000001,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克),http://www.dianping.com/shop/4683012
12,贴阁碧(解放店),1046,71,8.9,8.9,8.6,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路),http://www.dianping.com/shop/5237090
13,玲珑小镇(天一店),1075,83,8.5,9.1,8.800000000000001,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市日新街105号亿彩购物中心3楼,http://www.dianping.com/shop/10010285
14,贴阁碧(和义店),975,68,8.800000000000001,8.5,8.300000000000001,29.874827,121.552795,29.87740671081892,121.5486329491374,宁波市国医街90号(近万豪酒店),http://www.dianping.com/shop/5398973
15,宁海食府(望京路店),400,75,9,8.1,8.199999999999999,29.87777,121.540802,29.88032205692896,121.5366062852251,宁波市望京路96号(近城市广场),http://www.dianping.com/shop/3091099
16,第二乐章(亿彩店),456,57,8.5,9,8.800000000000001,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市日新街105号亿彩购物中心3楼,http://www.dianping.com/shop/13808428
17,王阿姨文昌油赞子(鼓楼里巷店),596,14,9.199999999999999,8.9,8.9,29.874529,121.547228,29.87709654667935,121.5430511011965,宁波市鼓楼府桥街38弄(近鼓楼里巷特色一条街),http://www.dianping.com/shop/17162693
18,遇见餐厅,191,44,8.4,8.9,8.9,29.891634,121.519645,29.89412763430147,121.5153789761021,宁波市丽园北路888(恒茂商业广场)中医院旁,http://www.dianping.com/shop/19274961
19,汤彩餐厅,568,83,8.5,8.9,8.4,29.874682,121.554505,29.87726524358543,121.5503472857164,宁波市和义路88号购物中心1楼(中国电信大楼旁),http://www.dianping.com/shop/5135178
20,涌上外婆桥(南塘店),550,60,8.9,9,8.699999999999999,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路258号,http://www.dianping.com/shop/5502149
21,皇家范,848,54,7.9,8.9,8.4,29.873391,121.555693,29.87597670407159,121.5515383229227,宁波市和义大道78号和义购物中心地B1楼(近华润Ole超市),http://www.dianping.com/shop/17614850
22,涌煲记(亚细亚店),556,59,8.5,8.6,8.5,29.873635,121.55527,29.87621984632606,121.5511142653163,宁波市药行街169号亚细亚A座5楼(近城隍庙),http://www.dianping.com/shop/8947675
23,上海小南国(天一广场店),435,145,8.199999999999999,8.9,8.5,29.868824,121.55476,29.87140810624047,121.5506033861703,宁波市碶闸街110、112号(近天一广场3号门口),http://www.dianping.com/shop/4285710
24,贰楼饭局,822,61,8.4,8.800000000000001,8.199999999999999,29.873686,121.546695,29.87625237465465,121.5425166837239,宁波市呼童街66号鼓楼科技广场2楼,http://www.dianping.com/shop/5728878
25,南田雅叙(东门银泰店),616,58,8,8.6,8.300000000000001,29.870095,121.557946,29.87268527933317,121.5537969882258,宁波市东渡路55号东门银泰百货7楼,http://www.dianping.com/shop/17783705
26,东福园饭店,614,104,8.4,8.5,8.300000000000001,29.874093,121.546506,29.87665891604756,121.5423271223554,宁波市公园路7号,http://www.dianping.com/shop/2771200
27,贴阁碧(翠柏店),670,70,8.9,9,8.699999999999999,29.878829,121.532814,29.8813603508295,121.5285933303939,宁波市翠柏路51号(近工程学院南门),http://www.dianping.com/shop/9071038
28,美宴摩登餐厅(月湖盛园店),110,223,8.9,9.199999999999999,9,29.863658,121.545821,29.86622296442844,121.541641026746,宁波市镇明路236号(近月湖盛园),http://www.dianping.com/shop/4097176
29,梅龙镇(南塘老街店),354,62,8.300000000000001,8.699999999999999,8.4,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市南郊路306号(南塘老街),http://www.dianping.com/shop/9977702
30,汉唐餐厅(月湖盛园店),441,88,8.4,8.699999999999999,8.4,29.86361,121.547505,29.86617884032966,121.5433297388364,宁波市月湖盛园盛园巷77号(近镇明路),http://www.dianping.com/shop/4219359
31,美好饭店,438,66,7.9,8.9,8,29.86361,121.547505,29.86617884032966,121.5433297388364,宁波市月湖盛园盛园巷37号,http://www.dianping.com/shop/15091399
32,红灯笼龙凤饭店,115,60,8.699999999999999,7.6,8,29.874706,121.542116,29.87726146136071,121.537924437581,宁波市中山西路190号中西大厦楼下,http://www.dianping.com/shop/5589596
33,老院子风味餐厅,289,71,8.199999999999999,8.699999999999999,8,29.855994,121.542157,29.85855074013017,121.5379670525659,宁波市南塘老街船埠巷26号,http://www.dianping.com/shop/6066225
34,老外婆渔村(联丰店),315,68,8.4,9,8.300000000000001,29.864386,121.503308,29.86683232057374,121.4989861610823,宁波市薛家南路117号,http://www.dianping.com/shop/5362465
35,绿茶致青春餐厅(天一酷购店),774,53,8,8.5,7.8,29.86801,121.552555,29.87058961198785,121.5483928750132,宁波市天一酷购B座4楼(屈臣氏对面),http://www.dianping.com/shop/17723873
36,海角时光餐厅,454,53,8,8.699999999999999,8.199999999999999,29.875337,121.546072,29.8779018413056,121.5418918037564,宁波市呼童街66号,http://www.dianping.com/shop/18130665
37,V-TOP顶餐厅,8,0,7.4,7.8,7.8,29.896622,121.524682,29.89912993502028,121.5204329224682,宁波市新星路111号高鑫广场4楼405室(高鑫1、2号门电梯上4楼),http://www.dianping.com/shop/21974623
38,都市厨房(天一店),415,67,8.199999999999999,8.4,8,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市碶闸街132号天一广场(近水晶街),http://www.dianping.com/shop/4667431
39,阳光豪生大酒店中餐厅,17,0,8.5,8.9,9,29.881359,121.51387,29.88383610016946,121.5095844979264,宁波市望春路188号,http://www.dianping.com/shop/17682871
40,青花瓷主题餐厅,248,69,8.199999999999999,8.6,8.300000000000001,29.876178,121.536254,29.87871859156569,121.5320444756605,宁波市中山西路328号(近科创大厦),http://www.dianping.com/shop/5213359
41,衢州农家菜馆,113,67,9.1,8,8.199999999999999,29.858816,121.548336,29.86138703135613,121.5441634060698,宁波市灵桥路88号(近镇明路),http://www.dianping.com/shop/5481828
42,小城故事(天一广场店),197,52,7.4,8.1,7.6,29.869628,121.553878,29.8722102610007,121.5497191154607,宁波市华楼巷36号天一广场8号门,http://www.dianping.com/shop/5704115
43,一茶一坐台湾特色餐餐厅(宁波天一乐购店),467,64,7.1,7.2,7.2,29.869408,121.556523,29.87199557617505,121.5523706548649,宁波市日新街46号乐购超市正门侧,http://www.dianping.com/shop/541898
45,蟹满香(灵桥路店),315,75,8.199999999999999,7.9,7.7,29.858869,121.548042,29.86143936630044,121.5438685962305,宁波市灵桥路48号(衢州农家菜馆旁)(近南苑饭店),http://www.dianping.com/shop/3225154
46,小城故事(月湖盛园店),177,74,7.4,8,7.3,29.863627,121.547076,29.86619486132426,121.5428995477472,宁波市海曙区盛园巷32号(月湖盛园),http://www.dianping.com/shop/5291366
47,天港大酒店,119,115,7.9,8.1,7.7,29.872349,121.520961,29.87484749654183,121.5167011010695,宁波市蓝天路188号(沃尔玛超市旁),http://www.dianping.com/shop/542322
48,竹林人家(海曙776店),200,85,8.4,8.300000000000001,8.4,29.850945,121.523568,29.85345241493119,121.5193187975247,宁波市环城西路南段776号,http://www.dianping.com/shop/2552485
49,南苑新芝宾馆芝苑餐厅,28,0,8,8.800000000000001,8.5,29.887949,121.53409,29.890483277741,121.5298726916311,宁波市永丰西路215号(南苑新芝宾馆内),http://www.dianping.com/shop/17955534
50,味道人家,334,69,8.1,7.8,7.7,29.86504,121.54951,29.86761323940143,121.5453400954799,宁波市解放南路66号(近基围大厦),http://www.dianping.com/shop/2545378
51,江南烟云,136,53,7.8,7.9,7.9,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路184号,http://www.dianping.com/shop/5640985
52,美好饭店,74,75,8.199999999999999,8.6,8.300000000000001,29.706155,121.781776,29.70863434479384,121.7775497472555,宁波市西城商业广场73-74二楼,http://www.dianping.com/shop/19362788
53,原味餐厅,20,0,7.9,7.8,8,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路166号,http://www.dianping.com/shop/21118718
54,华侨豪生大酒店中餐厅,49,213,8.199999999999999,8.9,8.6,29.868016,121.538932,29.87056394422024,121.5347314100574,宁波市柳汀街230号华侨豪生大酒店(近月湖),http://www.dianping.com/shop/4127737
55,浙海大酒店餐厅,19,0,8.199999999999999,8.5,8.5,29.869681,121.507789,29.8721405185481,121.5034827692037,宁波市联丰中路88号浙海大酒店内(近联丰立交桥),http://www.dianping.com/shop/8004144
56,川味鱼香(天一广场莱迪美食城店),223,27,8,7.8,7.7,30.179902,121.328619,30.18225942317104,121.3241731762981,宁波市药行街169号莱迪时尚广场2楼餐饮美食城,http://www.dianping.com/shop/10018278
57,采采小食(亿彩购物中心店),163,56,8.5,9,8.699999999999999,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市中山东路166号天一广场亿彩购物中心3楼,http://www.dianping.com/shop/13714369
58,乡村酒店(天一店),52,54,8.5,7.7,8.1,29.871507,121.5508,29.87408266102618,121.5466330204472,宁波市华楼街70号(近开明街),http://www.dianping.com/shop/3026569
59,三当家,56,52,8.1,8.199999999999999,7.7,29.874767,121.546415,29.87733266737754,121.5422358134912,宁波市府桥街58号,http://www.dianping.com/shop/19281267
60,蟹满香(城隍庙店),292,57,8,7.4,7.5,29.866555,121.551386,29.86913222249817,121.5472209559815,宁波市城隍庙大来街17号1-8,http://www.dianping.com/shop/3561364
61,城市桃花,81,51,7.7,7.7,7.6,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路206-196号,http://www.dianping.com/shop/5588512
62,贴阁碧(高鑫广场店),1,0,7.2,7.2,7.2,29.896622,121.524682,29.89912993502028,121.5204329224682,宁波市新星路111号高鑫广场3楼309室,http://www.dianping.com/shop/21276765
63,五丰堂,67,31,7.3,7.4,7.5,29.856469,121.542266,29.85902597317804,121.5380763360708,宁波市南塘老街南郊路27-1号,http://www.dianping.com/shop/5589684
64,千岛湖鱼头馆,14,78,8.199999999999999,8.4,8.5,29.854931,121.540168,29.85748290568169,121.5359722050601,宁波市南塘老街A区,http://www.dianping.com/shop/21303938
65,天一人家,9,0,8,7.9,8,29.88263,121.523129,29.88513418327625,121.5188757445469,宁波市中山西路988弄235号(环城西路北段天一家园东大门),http://www.dianping.com/shop/9218214
66,绿茶致青春餐厅(亚细亚店),40,57,6.6,7.3,7.2,29.867181,121.551892,29.86975926276011,121.5477282263707,宁波市药行街亚细亚莱迪时尚广场5楼,http://www.dianping.com/shop/18318298
67,疯炸机台湾鸡排(鼓楼店),263,15,8,7.9,8.5,29.875894,121.546252,29.87845922649886,121.5420722658998,宁波市呼童街84号(新时代美食广场外右侧出口),http://www.dianping.com/shop/18532797
68,海俱大酒店中餐厅,15,0,8.1,8.199999999999999,8.199999999999999,29.869237,121.536106,29.87177761299093,121.5318965675865,宁波市马园路218号海俱大酒店内,http://www.dianping.com/shop/9039851
69,老纪厨房,36,0,8.1,8.1,8.1,29.891295,121.520074,29.89378990264835,121.515809496142,宁波市丽园北路866号恒茂商业广场内21号,http://www.dianping.com/shop/18136842
70,好兄弟郭巨海鲜(西河总店),86,68,8.199999999999999,7.7,7.8,29.881172,121.541034,29.88372444499909,121.5368387073127,宁波市西河街95-97号(海曙公园 锦江之星旁边 ),http://www.dianping.com/shop/2314276
71,江南美景大酒店(月湖店),30,123,7.8,8,7.8,29.865633,121.548633,29.86820425460783,121.5444606737817,宁波市解放南路101号,http://www.dianping.com/shop/5149792
72,翡翠轩中餐厅,23,212,7.3,7.4,7.1,29.877594,121.552761,29.8801734833168,121.5485986418119,宁波市和义路188号宁波万豪酒店3楼,http://www.dianping.com/shop/2552308
73,军基厨·饭普军校(鼓楼店),287,21,8,8,8,29.875713,121.54697,29.8782798892808,121.5427922894234,宁波市鼓楼步行街公园路77弄1号（原神采飞扬南门）(原神采飞扬南门),http://www.dianping.com/shop/19375245
74,魔石咕噜鱼,24,63,7.7,7.4,7.7,29.869583,121.558606,29.87217455698998,121.5544585709385,宁波市东渡路30号2楼（太平鸟女装大楼右边）,http://www.dianping.com/shop/19645278
75,三市里胡同餐厅,157,68,8.199999999999999,8.9,8.300000000000001,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路278号,http://www.dianping.com/shop/5589618
76,叶叶食府,24,0,8.1,7.9,8.1,29.87751,121.529563,29.88003258023605,121.5253318274717,宁波市中山西路566号转文化路6号,http://www.dianping.com/shop/13660786
